Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,﻿What is it ?
twi_clips\twi_clip_002.wav,﻿It's the wish of the bottle to allow rope around its neck.
twi_clips\twi_clip_003.wav,﻿Yo.u allowed her to Oppress us.
twi_clips\twi_clip_004.wav,﻿You allowed her to Oppress us.
twi_clips\twi_clip_005.wav,﻿You allowed her to Oppress us.
twi_clips\twi_clip_006.wav,﻿What is it ?
twi_clips\twi_clip_007.wav,﻿You've refused to talk to her.
twi_clips\twi_clip_008.wav,﻿She took the 200 cedis I trade with.
twi_clips\twi_clip_009.wav,﻿You know that's where we make ends meat.
twi_clips\twi_clip_010.wav,﻿She gambled with the money and lost all.
twi_clips\twi_clip_011.wav,﻿Is that why you said that proverb ?
twi_clips\twi_clip_012.wav,"﻿E>xercise patience.

She will come and meet me here."
twi_clips\twi_clip_013.wav,﻿
twi_clips\twi_clip_014.wav,﻿Mother /
twi_clips\twi_clip_015.wav,﻿
twi_clips\twi_clip_016.wav,"﻿Oh God.

A-."
twi_clips\twi_clip_017.wav,﻿Am going crazy today.
twi_clips\twi_clip_018.wav,﻿Afia listen to advice.
twi_clips\twi_clip_019.wav,﻿
twi_clips\twi_clip_020.wav,﻿You don't seem to adhere to any word.
twi_clips\twi_clip_021.wav,﻿Am hungry.
twi_clips\twi_clip_022.wav,﻿You will suffer it.
twi_clips\twi_clip_023.wav,﻿
twi_clips\twi_clip_024.wav,﻿The hunger is yet to start.
twi_clips\twi_clip_025.wav,﻿Where is your sister's money.
twi_clips\twi_clip_026.wav,﻿Which money ?
twi_clips\twi_clip_027.wav,﻿You took the money she placed on the Tv for gambling.
twi_clips\twi_clip_028.wav,﻿The money she trades with that help us alll to feed in this house.
twi_clips\twi_clip_029.wav,﻿Are yoiu saying I took the money ?
twi_clips\twi_clip_030.wav,﻿Didn't you take it for gambling ?
twi_clips\twi_clip_031.wav,﻿Me ?
twi_clips\twi_clip_032.wav,"﻿Did you see me

gambling here today ?"
twi_clips\twi_clip_033.wav,﻿Mother it's not me/ Why do you always do this
twi_clips\twi_clip_034.wav,﻿Am hungry . You will suffer it.
twi_clips\twi_clip_035.wav,﻿Did you see me take the money ?
twi_clips\twi_clip_036.wav,﻿If she didn't see you then who took it ?
twi_clips\twi_clip_037.wav,﻿Do we live in the room with a ghost ?
twi_clips\twi_clip_038.wav,﻿Did you see me taking the money ?
twi_clips\twi_clip_039.wav,﻿Mother I will beat both of you if you dare me.
twi_clips\twi_clip_040.wav,﻿You will see your blood.
twi_clips\twi_clip_041.wav,"﻿If you're mad

I am mad than you're."
twi_clips\twi_clip_042.wav,﻿I will beat you.
twi_clips\twi_clip_043.wav,﻿She will leave and I will beat you/
twi_clips\twi_clip_044.wav,﻿Did you see me taking the money ?
twi_clips\twi_clip_045.wav,﻿Give the money to me.
twi_clips\twi_clip_046.wav,﻿Check her pockets.
twi_clips\twi_clip_047.wav,﻿«*
twi_clips\twi_clip_048.wav,﻿
twi_clips\twi_clip_049.wav,﻿Leave me alone.
twi_clips\twi_clip_050.wav,﻿She has nothing on her.
twi_clips\twi_clip_051.wav,﻿I will beat you.
twi_clips\twi_clip_052.wav,﻿You are Penniless .
twi_clips\twi_clip_053.wav,﻿
twi_clips\twi_clip_054.wav,﻿Go and get me my money.
twi_clips\twi_clip_055.wav,"﻿H^;,"
twi_clips\twi_clip_056.wav,﻿
twi_clips\twi_clip_057.wav,﻿
twi_clips\twi_clip_058.wav,﻿All you want is food to eat.
twi_clips\twi_clip_059.wav,﻿Did you see me taking your money ?
twi_clips\twi_clip_060.wav,﻿Leave her alone.
twi_clips\twi_clip_061.wav,﻿We have eaten but couldn'l leave you any.
twi_clips\twi_clip_062.wav,﻿Go and cook for yourself if you claim to be a woman.
twi_clips\twi_clip_063.wav,"﻿"" Go and cook for yourself if you claim to bp a woman."
twi_clips\twi_clip_064.wav,﻿Nobody will cook and give you in this house again.
twi_clips\twi_clip_065.wav,﻿Will mother react this way if you didn't talk ?
twi_clips\twi_clip_066.wav,﻿I will beat her.
twi_clips\twi_clip_067.wav,﻿Ignore her I will give you another money.
twi_clips\twi_clip_068.wav,﻿Hide your money well. Don't expose it.
twi_clips\twi_clip_069.wav,﻿For the cat to come for it.
twi_clips\twi_clip_070.wav,﻿You like talking.
twi_clips\twi_clip_071.wav,﻿Thief.
twi_clips\twi_clip_072.wav,﻿Don't insult her she's your elder sister.
twi_clips\twi_clip_073.wav,﻿Your are warned.
twi_clips\twi_clip_074.wav,﻿Can't you open your mouth and talk to me?
twi_clips\twi_clip_075.wav,﻿What is the use of your tears ?
twi_clips\twi_clip_076.wav,﻿Can't you say who impregnated you?
twi_clips\twi_clip_077.wav,﻿I don't know who got me pregnant.
twi_clips\twi_clip_078.wav,﻿I don’t like what you’re doing/
twi_clips\twi_clip_079.wav,﻿Let me know who is responsible for your
twi_clips\twi_clip_080.wav,﻿pregnancy for me to take action against him.
twi_clips\twi_clip_081.wav,﻿At your age you can't tell who impregnanted you.
twi_clips\twi_clip_082.wav,﻿I don't know who did it.
twi_clips\twi_clip_083.wav,﻿I would have told you if I knew.
twi_clips\twi_clip_084.wav,﻿You're behaving like an infant lamb.
twi_clips\twi_clip_085.wav,﻿You've got yourself preganant just like the other girls in this area.
twi_clips\twi_clip_086.wav,﻿Who get themselves pregnant just any how.
